City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
yaring,100,TH,1567467960,76,6.87,101.37,27.77,4.11
qaqortoq,69,GL,1567467960,81,60.72,-46.03,9.0,1.0
codo,0,ES,1567467961,55,41.33,-0.7,19.0,8.7
ushuaia,75,AR,1567467879,97,-54.81,-68.31,2.0,13.9
grindavik,0,IS,1567467873,75,63.84,-22.43,7.0,4.6
mount gambier,90,AU,1567467963,81,-37.83,140.78,12.0,3.6
port-gentil,40,GA,1567467964,83,-0.72,8.78,25.0,4.6
vondrozo,52,MG,1567467964,98,-22.82,47.32,15.37,1.28
kapaa,75,US,1567467965,62,22.08,-159.32,31.0,6.7
atuona,13,PF,1567467889,68,-9.8,-139.03,26.37,6.27
ribeira grande,1,PT,1567467726,84,38.52,-28.7,22.67,6.23
neiafu,20,TO,1567467967,65,-18.65,-173.98,26.0,4.1
umm lajj,35,SA,1567467968,69,25.02,37.27,29.97,6.41
hithadhoo,94,MV,1567467969,75,-0.6,73.08,28.27,4.39
jiuquan,11,CN,1567467970,34,39.73,98.49,19.67,0.71
mareeba,26,AU,1567467971,56,-16.99,145.42,25.56,4.6
bocas del toro,85,PA,1567467971,88,9.33,-82.25,14.44,1.3
mataura,27,NZ,1567467888,73,-46.19,168.86,12.78,0.45
cherskiy,9,RU,1567467973,43,68.75,161.3,8.97,2.42
tuktoyaktuk,20,CA,1567467747,57,69.44,-133.03,9.0,8.7
port hedland,50,AU,1567467974,93,-20.31,118.58,15.0,2.1
obo,47,CF,1567467975,94,5.39,26.49,20.97,0.59
saint-philippe,1,CA,1567467902,77,45.36,-73.48,20.0,3.6
busselton,27,AU,1567467903,57,-33.64,115.35,11.11,8.62
albany,1,US,1567467861,100,42.65,-73.75,21.11,2.6
guerrero negro,1,MX,1567467977,79,27.97,-114.04,23.17,5.97
aitape,25,PG,1567467977,74,-3.15,142.36,27.87,1.88
barrow,21,AR,1567467743,74,-38.31,-60.23,2.87,4.58
new norfolk,20,AU,1567467979,58,-42.78,147.06,14.0,3.6
georgetown,20,GY,1567467980,94,6.8,-58.16,26.0,3.1
hobart,20,AU,1567467591,58,-42.88,147.33,14.0,3.6
iqaluit,40,CA,1567467981,86,63.75,-68.52,4.0,2.1
knysna,0,ZA,1567467982,93,-34.04,23.05,9.0,1.0
dikson,91,RU,1567467913,93,73.51,80.55,5.97,4.25
bethel,90,US,1567467983,82,60.79,-161.76,16.0,9.3
talnakh,75,RU,1567467984,100,69.49,88.39,6.0,4.0
nikolskoye,75,RU,1567467811,87,59.7,30.79,17.78,2.0
mirnyy,0,RU,1567468012,94,56.57,36.46,13.17,1.55
port moresby,75,PG,1567468012,69,-9.47,147.16,26.0,7.7
san cristobal,9,HN,1567468013,51,14.68,-86.92,24.77,2.73
butembo,84,CD,1567468014,93,0.12,29.29,16.17,1.47
pangai,20,TO,1567468015,61,-19.8,-174.35,26.0,7.2
